,sample_name,plate,sampleID,flag_A,flag_B
625,MIZ329_whole_blood,4,MIZ329,0,0
626,MIZ330_whole_blood,4,MIZ330,0,0
627,MIZ331_whole_blood,4,MIZ331,0,0
628,MIZ332_whole_blood,4,MIZ332,0,0
629,MIZ333_whole_blood,4,MIZ333,0,0
630,MIZ334_whole_blood,4,MIZ334,0,0
631,MIZ338_urine,2,MIZ338,0,0
632,MIZ338_whole_blood,4,MIZ338,0,0
633,MIZ339_whole_blood,4,MIZ339,0,0
634,MIZ340_urine,2,MIZ340,0,0
635,MIZ340_whole_blood,4,MIZ340,0,0
636,MIZ341_whole_blood,3,MIZ341,0,0
637,MIZ342_urine,2,MIZ342,0,0
638,MIZ342_whole_blood,3,MIZ342,0,0
639,MIZ3443_whole_blood,3,MIZ3443,0,0
640,MIZ345_urine,2,MIZ345,0,0
641,MIZ346_whole_blood,3,MIZ346,0,0
642,MIZ347_whole_blood,3,MIZ347,0,0
643,MIZ348_whole_blood,3,MIZ348,0,0
644,MIZ349_whole_blood,3,MIZ349,0,0
645,MIZ350_whole_blood,3,MIZ350,0,0
646,MIZ351_urine,2,MIZ351,0,0
647,MIZ351_whole_blood,3,MIZ351,0,0
648,MIZ352_urine,2,MIZ352,0,0
649,MIZ352_whole_blood,3,MIZ352,0,0
650,MIZ352_whole_blood,3,MIZ352,0,0
651,MIZ353_whole_blood,3,MIZ353,0,0
652,MIZ353_whole_blood,3,MIZ353,0,0
653,MIZ354_whole_blood,3,MIZ354,0,0
654,MIZ354_whole_blood,3,MIZ354,0,0
655,MIZ355_urine,2,MIZ355,0,0
656,MIZ355_whole_blood,3,MIZ355,0,0
657,MIZ356_whole_blood,3,MIZ356,0,0
658,MIZ357_urine,2,MIZ357,0,0
659,MIZ357_whole_blood,3,MIZ357,0,0
660,MIZ358_whole_blood,3,MIZ358,0,0
661,MIZ359_urine,2,MIZ359,0,0
662,MIZ359_whole_blood,3,MIZ359,0,0
663,MIZ360_whole_blood,2,MIZ360,0,0
664,MIZ361_whole_blood,2,MIZ361,0,0
665,MIZ362_whole_blood,4,MIZ362,0,0
666,MIZ363_whole_blood,4,MIZ363,0,0
667,MIZ366_urine,2,MIZ366,0,0
668,MIZ366_whole_blood,4,MIZ366,0,0
669,MIZ367_whole_blood,4,MIZ367,0,0
670,MIZ368_whole_blood,4,MIZ368,0,0
671,MIZ369_whole_blood,4,MIZ369,0,0
672,MIZ372_whole_blood,3,MIZ372,0,0
673,MIZ373_whole_blood,3,MIZ373,0,0
674,MIZ374_whole_blood,3,MIZ374,0,0
675,MIZ375_whole_blood,3,MIZ375,0,0
676,MIZ376_whole_blood,3,MIZ376,0,0
677,MIZ377_whole_blood,3,MIZ377,0,0
678,MIZ378_urine,2,MIZ378,0,0
679,MIZ378_whole_blood,3,MIZ378,0,0
680,MIZ379_whole_blood,2,MIZ379,0,0
681,MIZ382_whole_blood,3,MIZ382,0,0
682,MIZ383_whole_blood,3,MIZ383,0,0
683,MIZ384_whole_blood,3,MIZ384,0,0
684,MIZ385_whole_blood,3,MIZ385,0,0
685,MIZ386_whole_blood,3,MIZ386,0,0
686,MIZ387_whole_blood,3,MIZ387,0,0
687,MIZ389_whole_blood,3,MIZ389,0,0
688,MIZ390_whole_blood,3,MIZ390,0,0
689,MIZ391_whole_blood,4,MIZ391,0,0
690,MIZ392_urine,2,MIZ392,0,0
691,MIZ392_whole_blood,4,MIZ392,0,0
692,MIZ393_whole_blood,4,MIZ393,0,0
693,MIZ394_whole_blood,3,MIZ394,0,0
694,MIZ394_whole_blood,3,MIZ394,0,0
695,MIZ394_whole_blood,4,MIZ394,0,0
696,MIZ395_whole_blood,3,MIZ395,0,0
697,MIZ395_whole_blood,4,MIZ395,0,0
698,MIZ396_urine,2,MIZ396,0,0
